data,fundo_id,pl
2026-01-02,FIC_FIM_ALPHA,100000000.00
2026-01-05,FIC_FIM_ALPHA,100250000.00
2026-01-06,FIC_FIM_ALPHA,99800000.00
2026-01-07,FIC_FIM_ALPHA,101100000.00
2026-01-08,FIC_FIM_ALPHA,101500000.00
2026-01-09,FIC_FIM_ALPHA,101200000.00
2026-01-12,FIC_FIM_ALPHA,102000000.00
2026-01-13,FIC_FIM_ALPHA,101850000.00
2026-01-14,FIC_FIM_ALPHA,102300000.00
2026-01-15,FIC_FIM_ALPHA,102100000.00
2026-01-16,FIC_FIM_ALPHA,102400000.00
2026-01-19,FIC_FIM_ALPHA,103000000.00
2026-01-20,FIC_FIM_ALPHA,103200000.00
2026-01-21,FIC_FIM_ALPHA,103150000.00
2026-01-22,FIC_FIM_ALPHA,103500000.00
2026-01-23,FIC_FIM_ALPHA,103800000.00
2026-01-26,FIC_FIM_ALPHA,104100000.00
2026-01-27,FIC_FIM_ALPHA,104050000.00
2026-01-28,FIC_FIM_ALPHA,104500000.00
2026-01-29,FIC_FIM_ALPHA,104800000.00
2026-01-30,FIC_FIM_ALPHA,105000000.00
